date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:17	244/244	---MCZ	200	added ('OK')	text/plain	etag:W/%226298edba-219:dtagent102392204081032298fbh%22	https://www.ashleymadison.com/robots.txt		(from )
01:24:18	178836/178836	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2019:48:23%20GMT	https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b	C:/Mis%20lugares%20Web/citas/www.ashleymadison.com/es-mx/indexbc76.html	(from )
01:24:18	4307/4307	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Apr%202022%2016:59:07%20GMT	https://lander-cdn.ashleymadison.com/frontend-landers/images/mainLanderAshleyMadison/pink-favicon.png	C:/Mis%20lugares%20Web/citas/lander-cdn.ashleymadison.com/frontend-landers/images/mainLanderAshleyMadison/pink-favicon.png	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:18	9437/9437	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jun%202022%2006:24:19%20+0000	https://www.ashleymadison.com/es-mx/images/mainLanderAshleyMadison/5fa5bb5b5908bde542cdd005_hero_desktop.jpg	C:/Mis%20lugares%20Web/citas/www.ashleymadison.com/es-mx/images/mainLanderAshleyMadison/5fa5bb5b5908bde542cdd005_hero_desktop.jpg	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:19	177424/177424	---M--	200	added ('OK')	image/jpeg	etag:%22cfO29NkN9jvVYBrT2KLDukFQ%22	https://lander-cdn.ashleymadison.com/cdn-cgi/image/width=425,height=500,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	C:/Mis%20lugares%20Web/citas/lander-cdn.ashleymadison.com/cdn-cgi/image/width=425,height=500,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:19	178839/178839	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jun%202022%2019:48:23%20GMT	https://www.ashleymadison.com/es-mx/	C:/Mis%20lugares%20Web/citas/www.ashleymadison.com/es-mx/index.html	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:19	204697/204697	---M--	200	added ('OK')	image/jpeg	etag:%22cfM3ElJekTldxKq3obizuM6Q%22	https://lander-cdn.ashleymadison.com/cdn-cgi/image/width=768,height=500,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	C:/Mis%20lugares%20Web/citas/lander-cdn.ashleymadison.com/cdn-cgi/image/width=768,height=500,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:20	99286/99286	---M--	200	added ('OK')	image/jpeg	etag:%22cflEKEQGakFYievT2jSVqv8A%22	https://lander-cdn.ashleymadison.com/cdn-cgi/image/width=2500,format=auto,quality=75/frontend-landers/images/mainLanderAshleyMadison/5fa5bb5b5908bde542cdd005_hero_desktop.jpg	C:/Mis%20lugares%20Web/citas/lander-cdn.ashleymadison.com/cdn-cgi/image/width=2500,format=auto,quality=75/frontend-landers/images/mainLanderAshleyMadison/5fa5bb5b5908bde542cdd005_hero_desktop.jpg	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:20	233908/233908	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202010%2007:01:40%20GMT	https://www.ashleymadison.com/ruxitagentjs_ICA27Vfhjqrux_10239220408103229.js	C:/Mis%20lugares%20Web/citas/www.ashleymadison.com/ruxitagentjs_ICA27Vfhjqrux_10239220408103229.js	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
01:24:20	486625/486625	---M--	200	added ('OK')	image/jpeg	etag:%22cfOt04yCmW4nIVFow_MzSV2A%22	https://lander-cdn.ashleymadison.com/cdn-cgi/image/width=1024,height=889,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	C:/Mis%20lugares%20Web/citas/lander-cdn.ashleymadison.com/cdn-cgi/image/width=1024,height=889,fit=crop,format=auto,quality=100/frontend-landers/images/mainLanderAshleyMadison/mobile_hero_v4.jpg	(from https://www.ashleymadison.com/es-mx/?gclid=EAIaIQobChMI0Ma1n5ST-AIVB8zICh33awSBEAAYASAAEgI-wPD_BwE&adgroupid=9841396121&utm_logged=1&campaignid=148707281&utm_term=+citas%20+pagina&utm_campaign=Ashley+Madison+-+MX+-+Citas&targetid=kwd-62848847081&am_utm=242732095&utm_source=google&utm_medium=cpc&network=g&utm_content=b)
